Hour,Count
0,8105
1,4316
2,3451
3,2619
4,2127
5,2100
6,2704
7,4272
8,6220
9,6830
10,7817
11,8416
12,10670
13,9041
14,8911
15,9475
16,9673
17,10150
18,10600
19,9846
20,8963
21,7757
22,7235
23,6159
